City,Country,location
Tirana, Albania,Tirana_ Albania
Luanda, Angola,Luanda_ Angola
Buenos Aires, Argentina,Buenos Aires_ Argentina
Yerevan, Armenia,Yerevan_ Armenia
Sydney, Australia,Sydney_ Australia
Vienna, Austria,Vienna_ Austria
Baku, Azerbaijan,Baku_ Azerbaijan
Nassau, Bahamas,Nassau_ Bahamas
Manama, Bahrain,Manama_ Bahrain
Dhaka, Bangladesh,Dhaka_ Bangladesh
Minsk, Belarus,Minsk_ Belarus
Brussels, Belgium,Brussels_ Belgium
Belize City, Belize,Belize City_ Belize
Santa Cruz, Bolivia,Santa Cruz_ Bolivia
Sarajevo, Bosnia and Herzegovina,Sarajevo_ Bosnia and Herzegovina
Gaborone, Botswana,Gaborone_ Botswana
Rio De Janeiro, Brazil,Rio De Janeiro_ Brazil
Bandar Seri Begawan, Brunei Darussalam,Bandar Seri Begawan_ Brunei Darussalam
Sofia, Bulgaria,Sofia_ Bulgaria
Phnom Penh, Cambodia,Phnom Penh_ Cambodia
Vancouver, Canada,Vancouver_ Canada
Toronto, Canada,Toronto_ Canada
Espargos, Cape Verde,Espargos_ Cape Verde
Georgetown, Cayman Islands,Georgetown_ Cayman Islands
N'Djamena, Chad,N'Djamena_ Chad
Santiago, Chile,Santiago_ Chile
Beijing, China,Beijing_ China
Bogota, Colombia,Bogota_ Colombia
Kinshasa, Congo,Kinshasa_ Congo
Avarua, Cook Islands,Avarua_ Cook Islands
Liberia, Costa Rica,Liberia_ Costa Rica
Havana, Cuba,Havana_ Cuba
Larnaca, Cyprus,Larnaca_ Cyprus
Paphos, Cyprus,Paphos_ Cyprus
Prague, Czechia,Prague_ Czechia
Copenhagen, Denmark,Copenhagen_ Denmark
Punta Cana, Dominican Republic,Punta Cana_ Dominican Republic
Santo Domingo, Dominican Republic,Santo Domingo_ Dominican Republic
Quito, Ecuador,Quito_ Ecuador
Cairo, Egypt,Cairo_ Egypt
San Salvador, El Salvador,San Salvador_ El Salvador
Tallinn, Estonia,Tallinn_ Estonia
Addis Ababa, Ethiopia,Addis Ababa_ Ethiopia
Helsinki, Finland,Helsinki_ Finland
Paris, France,Paris_ France
Papeete, French Polynesia,Papeete_ French Polynesia
Tbilisi, Georgia,Tbilisi_ Georgia
Berlin, Germany,Berlin_ Germany
Athens, Greece,Athens_ Greece
Pointe-à-Pitre, Guadeloupe,Pointe-à-Pitre_ Guadeloupe
Hagatna, Guam,Hagatna_ Guam
Guatemala City, Guatemala,Guatemala City_ Guatemala
Hong Kong, Hong Kong,Hong Kong_ Hong Kong
Budapest, Hungary,Budapest_ Hungary
Reykjavik, Iceland,Reykjavik_ Iceland
New Delhi, India,New Delhi_ India
Jakarta, Indonesia,Jakarta_ Indonesia
Tehran, Iran,Tehran_ Iran
Baghdad, Iraq,Baghdad_ Iraq
Dublin, Ireland,Dublin_ Ireland
Tel Aviv, Israel,Tel Aviv_ Israel
Rome, Italy,Rome_ Italy
Kingston, Jamaica,Kingston_ Jamaica
Tokyo, Japan,Tokyo_ Japan
Amman, Jordan,Amman_ Jordan
Nursultan, Kazakstan,Nursultan_ Kazakstan
Nairobi, Kenya,Nairobi_ Kenya
Seoul, Korea,Seoul_ Korea
Kuwait City, Kuwait,Kuwait City_ Kuwait
Bishkek, Kyrgyzstan,Bishkek_ Kyrgyzstan
Riga, Latvia,Riga_ Latvia
Beirut, Lebanon,Beirut_ Lebanon
Monrovia, Liberia,Monrovia_ Liberia
Tripoli, Libya,Tripoli_ Libya
Vilnius, Lithuania,Vilnius_ Lithuania
Luxembourg, Luxembourg,Luxembourg_ Luxembourg
Macau, Macao,Macau_ Macao
Skopje, Macedonia,Skopje_ Macedonia
Antananarivo, Madagascar,Antananarivo_ Madagascar
Kuala Lumpur, Malaysia,Kuala Lumpur_ Malaysia
Malé, Maldives,Malé_ Maldives
Bamako, Mali,Bamako_ Mali
Valletta, Malta,Valletta_ Malta
Nouakchott, Mauritania,Nouakchott_ Mauritania
Port Louis, Mauritius,Port Louis_ Mauritius
Mexico City, Mexico,Mexico City_ Mexico
Ulan Bator, Mongolia,Ulan Bator_ Mongolia
Podgorica, Montenegro,Podgorica_ Montenegro
Casablanca, Morocco,Casablanca_ Morocco
Maputo, Mozambique,Maputo_ Mozambique
Yangon, Myanmar,Yangon_ Myanmar
Kathmandu, Nepal,Kathmandu_ Nepal
Amsterdam, Netherlands,Amsterdam_ Netherlands
Auckland, New Zealand,Auckland_ New Zealand
Niamey, Niger,Niamey_ Niger
Lagos, Nigeria,Lagos_ Nigeria
Oslo, Norway,Oslo_ Norway
Muscat, Oman,Muscat_ Oman
Islamabad, Pakistan,Islamabad_ Pakistan
Tocumen, Panama,Tocumen_ Panama
Port Moresby, Papua New Guinea,Port Moresby_ Papua New Guinea
Lima, Peru,Lima_ Peru
Cagayan de Oro City, Philippines,Cagayan de Oro City_ Philippines
Lal-lo, Philippines,Lal-lo_ Philippines
Manila, Philippines,Manila_ Philippines
Warsaw, Poland,Warsaw_ Poland
Lisbon, Portugal,Lisbon_ Portugal
San Juan, Puerto Rico,San Juan_ Puerto Rico
Doha, Qatar,Doha_ Qatar
Bucharest, Romania,Bucharest_ Romania
Khabarovsk, Russia,Khabarovsk_ Russia
St. Petersburg, Russia,St. Petersburg_ Russia
Moscow, Russia,Moscow_ Russia
Kigali, Rwanda,Kigali_ Rwanda
Ad Dammam, Saudi Arabia,Ad Dammam_ Saudi Arabia
Dakar, Senegal,Dakar_ Senegal
Belgrade, Serbia,Belgrade_ Serbia
Mahe Island, Seychelles,Mahe Island_ Seychelles
Freetown, Sierra Leone,Freetown_ Sierra Leone
Singapore, Singapore,Singapore_ Singapore
Bratislava, Slovakia,Bratislava_ Slovakia
Ljubljana, Slovenia,Ljubljana_ Slovenia
Hargeisa, Somalia,Hargeisa_ Somalia
Cape Town, South Africa,Cape Town_ South Africa
Juba, South Sudan,Juba_ South Sudan
Madrid, Spain,Madrid_ Spain
Colombo, Sri Lanka,Colombo_ Sri Lanka
Khartoum, Sudan,Khartoum_ Sudan
Stockholm, Sweden,Stockholm_ Sweden
Zurich, Switzerland,Zurich_ Switzerland
Taipei, Taiwan,Taipei_ Taiwan
Zanzibar, Tanzania,Zanzibar_ Tanzania
Bangkok, Thailand,Bangkok_ Thailand
Tunis, Tunisia,Tunis_ Tunisia
Istanbul, Turkey,Istanbul_ Turkey
Ashgabat, Turkmenistan,Ashgabat_ Turkmenistan
Kampala, Uganda,Kampala_ Uganda
Kiev, Ukraine,Kiev_ Ukraine
Dubai, United Arab Emirates,Dubai_ United Arab Emirates
London, United Kingdom,London_ United Kingdom
Los Angeles, United States,Los Angeles_ United States
New York, United States,New York_ United States
New Orleans, United States,New Orleans_ United States
Chicago, United States,Chicago_ United States
Honolulu, United States,Honolulu_ United States
Montevideo, Uruguay,Montevideo_ Uruguay
Tashkent, Uzbekistan,Tashkent_ Uzbekistan
Caracas, Venezuela,Caracas_ Venezuela
Hanoi, Vietnam,Hanoi_ Vietnam
Lusaka, Zambia,Lusaka_ Zambia
Harare, Zimbabwe,Harare_ Zimbabwe
