location,Ad Dammam,Amsterdam,Athens,Auckland,Baker Island,Bangkok,Beijing,Beirut,Berlin,Bogota,Brussels,Bucharest,Budapest,Buenos Aires,Cape Town,Christmas Island,Copenhagen,Delhi,Dubai,Dublin,Geneva,Havana,Helsinki,Hong Kong,Islamabad,Istanbul,Kabul,Kuala Lumpur,Lisbon,Ljubljana,London,Los Angeles,Macau,Madrid,Manama,Mexico City,Montevideo,Montreal,Moscow,New York,Nicosia,Nursultan,Oslo,Paris,Prague,Pyongyang,Reykjavik,Rio De Janeiro,Rome,Santiago,Seoul,Singapore,Stockholm,Sydney,Taipei,Tallinn,Tehran,Tel Aviv,Tokyo,Valletta,Vienna,Vilnius,Warsaw,Zagreb,sum_co2kg,sum_co2kg_div_3,weightedsum_co2ton
"Addis Ababa,  Ethiopia",224274.764,39339286.999000005,246189.102,6685645.386,347771.137,147842.878,89909282.918,136478.69,95456470.485,1083019.976,18182982.867,457110.04500000004,1547100.4200000002,980290.768,1616326.838,168907.618,4622601.401,1515422.94,123479.506,3910637.528,29174248.704,1658970.414,7792423.4059999995,5344209.4799999995,98501.343,1584283.764,93065.119,765999.405,3568546.184,626082.99,86711331.844,361992203.37,176762.836,11642683.214,56243.606,12563674.040000001,1203492.105,184504865.93,2636954.4850000003,276904872.784,72364.975,122300.622,7944474.254,32665518.998,4264656.362,598281.465,169126.361,7752108.872,30759719.972,61150666.945999995,68909418.446,27332896.508,11089052.678,59759842.442999996,28700565.668,126143.141,866942.2849999999,4333904.18,82675600.28,85887.438,8761254.412,115068.635,6486888.8379999995,102440.719,1700645661.787,566881887.2623333,566881.8872623333
"Amman,  Jordan",151613.252,25567731.146,101761.578,7415796.297,328272.941,149708.762,76447914.816,1764.22,57747821.188,1011691.616,11917541.811,204137.365,828899.94,1073676.784,2317388.262,191850.527,2891750.022,1317561.24,100421.554,2546028.156,18721776.128,1446060.078,4820757.654,5034102.989999999,82578.674,610857.296,75500.094,827076.26,2554052.788,355681.896,55384355.616,301779829.11999995,166662.192,8048313.003,39156.677,10954216.52,1323664.325,149302343.19,1493967.507,227796217.856,1721.347,82392.446,4880084.877,21705439.868,2498283.0579999997,514641.98400000005,116932.456,8388440.089000001,17964788.423,65768851.875,59734302.628,29593100.004,6962476.149999999,66521895.320999995,26520394.984,77296.601,411987.686,29616.176,72342094.552,50007.163,4921319.134,65290.458,3640292.454,56683.093,1375978834.1680002,458659611.3893334,458659.61138933344
"Amsterdam,  Netherlands",417368.132,0.0,160253.595,8272723.053,308583.896,200609.12,84652050.444,155223.594,15300111.375,774459.908,102352.13100000001,222769.115,473548.2,999139.34,2963451.176,254274.093,743296.589,2094968.595,227489.528,658658.364,5604722.688,1026738.5279999999,2306897.329,6087449.73,125062.484,1036363.93,118027.325,1112867.515,1298218.656,174780.804,956340.864,221912671.22,202281.611,3622614.9620000003,105396.558,8060433.0,1239639.045,93275430.71,1219637.422,146038733.624,72037.371,97755.973,1624421.217,458362.15599999996,851911.892,549194.205,49961.57,7746429.113,10553966.935,59458480.691,63853140.351,39404903.472,2687438.252,78570656.269,30583183.98,36771.345,991312.333,5463929.132,73946366.676,49133.192,2307525.92,35057.535,1783774.9200000002,30632.737,995711985.4899999,331903995.1633333,331903.9951633333
"Antananarivo,  Madagascar",445787.008,61141856.635,447685.38899999997,5363099.847,321921.708,150236.906,104343518.31799999,264358.122,152230199.852,1176122.568,28385116.41,808277.0900000001,2600230.95,891081.828,1135475.222,138300.04,7221702.660999999,2036956.1099999999,220014.272,5837373.640000001,46789485.312,1935608.0219999999,12042330.921,5624132.399999999,141619.175,2890933.866,139936.94,704239.805,5332999.028,1045004.1359999999,132842118.59599999,439843711.365,186135.707,17956118.528,111002.52,14375613.959999999,1092119.21,233188807.39000002,4206338.647,345188184.788,136240.91,178034.334,12089939.747000001,50974365.498,6928874.0200000005,678203.76,238942.565,7501907.509000001,52210719.186,55738856.648,77387378.519,24727094.099999998,17120025.332000002,47603726.387,30344585.188,195872.1,1472006.9759999998,8726082.524,90649766.844,153936.543,14510821.68,185003.204,10560423.195999999,172373.375,2151280935.0370007,717093645.0123335,717093.6450123335
"Ashgabat,  Turkmenistan",150760.216,30308784.714,221361.168,6634698.714,283201.766,109005.466,53802183.682,104067.912,68389953.26300001,1150869.82,14367231.543,339862.61,1220517.225,1258635.192,2754148.208,159746.249,3209807.794,752884.545,72700.252,3158551.648,24530478.592,1580933.97,5001478.755,3670168.9200000004,35679.493,1182564.009,29908.388,644103.055,3543342.684,500289.66000000003,69715364.424,297086399.82,121267.696,11221286.696,37649.321,11520059.08,1554402.7600000002,161054289.55,1418767.121,247792234.88799998,55412.481,44578.641,5385226.593,26919523.722000003,3173874.874,378018.48,128070.399,10105159.725,26875906.876999997,76299220.93200001,44151339.188,23298597.98,7186950.511999999,58928664.088,19679006.036000002,81649.124,234793.592,3752000.4359999998,55915066.480000004,85942.296,6721943.768,75795.897,4647796.4180000005,82237.194,1404896416.6020002,468298805.5340001,468298.8055340001
"Athens,  Greece",272264.264,16719791.745,0.0,7976672.5709999995,332878.426,173528.095,82452033.794,63281.474,36340661.848000005,905850.388,7593055.386,116146.63,468596.085,1020060.22,2457739.97,219002.037,1953291.198,1658253.045,160186.038,1955762.7040000001,10930248.704,1277901.096,3698489.475,5609198.91,97849.775,352284.263,89893.847,955926.435,1953650.1039999998,192173.88,39283003.188,274810556.13,185972.928,5653318.207,69323.644,9846402.2,1259373.895,128331523.32,1264606.24,196529086.244,27594.074,88099.588,3770317.651,13782688.122,1463872.632,547228.4820000001,92266.196,7860798.703,9361537.888,62132792.888000004,63553473.984,34032789.975999996,5089022.393999999,72396304.92500001,29016962.14,58686.336,666312.768,2204260.9359999998,75664666.896,25950.914,2764151.448,46282.659,2325648.446,30548.965,1232232097.4139998,410744032.47133327,410744.0324713333
"Auckland,  New Zealand",1282371.892,123302967.40900001,1139524.653,0.0,93441.697,209238.573,112282969.73400001,710928.236,312254571.056,1063577.016,58437941.205000006,1877035.765,5775673.74,904214.704,3594796.2539999997,163549.148,14106151.358,4084169.7300000004,618682.02,11068169.924,103587361.024,1651539.072,22107496.353,5994666.39,285664.339,7042756.809,293476.183,954671.96,11937564.66,2359661.0999999996,266329131.74,260151283.165,200650.834,41317120.415,319442.091,9564988.28,1141516.4200000002,241240657.35,8107064.425999999,349946018.144,360328.629,304315.717,22085634.787,107256799.832,14762238.936,643411.1039999999,365079.774,9898198.782,124393742.369,47981326.641,71708128.888,31691509.98,31820137.514,11549029.478,28657648.036000002,363654.076,3595520.566,24169470.724,70376025.35599999,396760.087,31835296.322,369132.58,21885475.240000002,391248.629,2644362818.9160004,881454272.9720001,881454.2729720001
"Autonomous City of Buenos Aires,  Argentina",1154890.636,78182653.355,765045.165,4747127.196,273639.926,367121.188,206919804.98799998,539708.102,210177106.232,412340.084,36272977.062,1333313.855,3904958.79,0.0,2112180.42,320641.128,9739109.66,5157512.85,595035.612,6719377.056,61829500.928,908610.6359999999,17215708.895999998,12045152.25,339432.685,5074456.901000001,332513.564,1736522.095,5875923.956,1513216.776,162266860.616,244245813.115,400683.201,21292672.342,289413.228,6480693.08,4163.345,152188103.76,6754665.392,211216777.188,267634.051,340391.917,15759403.978,64169560.966,9792952.488,1265042.01,249542.911,1806618.5359999998,75701399.771,7119132.459,144001927.322,59460252.423999995,23554391.908,55849862.663,60973461.356,281285.047,3301959.8699999996,18124419.576,145300605.632,237633.546,21129625.684,277029.797,15593506.595999999,253877.159,2206516944.926,735505648.3086667,735505.6483086667
"Avarua,  Cook Islands",1473017.724,111063789.44399999,1182029.535,1544319.798,73134.069,251890.251,118612777.97199999,781037.972,290153572.057,852174.472,52583561.982,1889695.76,5576152.109999999,844381.96,4233256.902000001,219707.451,12985767.937,4658787.0,714279.894,9623678.26,94428948.992,1274804.5380000002,20800133.555999998,6881332.619999999,319620.597,7299234.313,327266.466,1202440.51,10116118.264,2245314.6659999997,235664091.408,187933531.54,230598.69,35674620.714999996,367263.248,7004288.12,1074205.14,191243767.33,7964673.496,276303918.888,391468.973,315771.619,20091847.433000002,95814041.09200001,13861026.946,669912.2250000001,311946.594,9341011.379,119065364.441,42972378.01,74908856.506,40277654.692,29521967.34,23873171.020999998,32093667.688,342757.332,3970466.511,26812615.492,71410660.776,397686.224,30311567.32,353982.345,20902733.970000003,375247.946,2366060989.522,788686996.5073333,788686.9965073332
"Baghdad,  Iraq",113119.924,26410078.624,143912.06699999998,7100002.433999999,312552.31,132868.425,68357681.75600001,50674.324,64374159.781,1072968.836,12383207.529,247908.015,972176.6699999999,1140619.3,2438706.5500000003,177315.844,3067302.0719999997,1156905.855,70683.954,2810292.912,20930393.344,1515471.42,4916203.805000001,4511605.98,65005.231,766575.197,56306.568,747679.385,2959014.0719999997,425317.476,60609699.444,304610206.995,149244.444,9230367.419,29117.304,11323007.36,1406849.085,155942168.69,1439437.175,238599870.772,29812.188,72146.911,5030276.339,22804452.65,2851091.9680000003,466186.449,122882.171,9018613.655,22412817.407,69656166.039,54189187.734,26867697.052,7123001.427999999,63331873.150000006,23960608.296,79150.603,241610.96300000002,1864175.664,66569485.892000005,67062.66,5731692.498,68682.058,3997009.5059999996,68121.041,1399390482.67,466463494.22333336,466463.4942233334
