"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Municipality of Macau,  China","Municipality of Macau"," China","Municipality of Macau, Macau, China","22.1899448","113.5380454","0.0","0.0","0","67"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","260.705","8719.226","0","67"
"Hanoi,  Vietnam","Hanoi"," Vietnam","Hanoi, Vietnam","21.0294498","105.8544441","24772.467","107822.0","67","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","26614.798","117468.225","67","0"
"Lal-lo,  Philippines","Lal-lo"," Philippines","Lal-lo, Cagayan, Cagayan Valley, 3509, Philippines","18.2000513","121.661997","28619.128","128182.644","67","0"
"Manila,  Philippines","Manila"," Philippines","Manila, Capital District, Metro Manila, Philippines","14.5907332","120.9809674","31684.356","154507.201","67","0"
"Cagayan de Oro,  Philippines","Cagayan de Oro"," Philippines","Cagayan de Oro, Alabang Hills Village, Muntinlupa, Southern Manila District, Metro Manila, 1771, Philippines","14.4373834","121.0303195","31938.344","156688.48","67","0"
"Phnom Penh,  Cambodia","Phnom Penh"," Cambodia","Phnom Penh, Khan Daun Penh, Phnom Penh, 11213, Cambodia","11.568271","104.9224426","37641.266","200201.065","67","0"
"Bangkok,  Thailand","Bangkok"," Thailand","Bangkok, Phra Borom Maha Ratchawang Subdistrict, Phra Nakhon District, Bangkok, 10200, Thailand","13.7544238","100.4930399","41709.561","223352.329","67","0"
"Yangon,  Myanmar","Yangon"," Myanmar","Yangon, Western District, Yangon, 11000, Myanmar","16.7967129","96.1609916","47578.407","256749.908","67","0"
"Bandar Seri Begawan,  Brunei","Bandar Seri Begawan"," Brunei","Bandar Seri Begawan, Mukim Kianggeh, Brunei-Muara District, BS8711, Brunei","4.8895453","114.9417574","47898.599","258572.008","67","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","49280.187","266434.149","67","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","52857.669","286792.367","67","0"
"Dhaka,  Bangladesh","Dhaka"," Bangladesh","Dhaka, Chanpara Bazar, Dhaka District, Dhaka Division, 1230, Bangladesh","23.810651","90.4126466","58320.72","317748.654","67","0"
"Kuala Lumpur,  Malaysia","Kuala Lumpur"," Malaysia","Kuala Lumpur, Malaysia","3.1516964","101.6942371","60740.462","331352.611","67","0"
"Singapore, Singapore","Singapore","Singapore","Singapore","1.357107","103.8194992","62434.996","340879.402","67","0"
"Kathmandu,  Nepal","Kathmandu"," Nepal","Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, Kathmandu, Bagmati Pradesh, 46600, Nepal","27.708317","85.3205817","71003.784","389053.729","67","0"
"Ulaanbaatar,  Mongolia","Ulaanbaatar"," Mongolia","Ulaanbaatar, Mongolia","47.94909925","107.02225913456641","71458.619","391610.842","67","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","72012.15","394722.833","67","0"
"Jakarta Special Capital Region,  Indonesia","Jakarta Special Capital Region"," Indonesia","Jakarta Special Capital Region, Indonesia","-6.1753942","106.827183","78970.936","433845.618","67","0"
"Hagåtña,  United States","Hagåtña"," United States","Hagåtña, Sinajana Municipality, Guam, United States","13.4727446","144.75201822544284","82345.254","460361.755","67","0"
"New Delhi,  India","New Delhi"," India","New Delhi, Delhi, India","28.6138954","77.2090057","83555.987","496300.903","67","0"
"Khabarovsk Krai,  Russia","Khabarovsk Krai"," Russia","Khabarovsk Krai, Far Eastern Federal District, Russia","51.6312684","136.121524","84593.67","510028.34","67","0"
"Colombo,  Sri Lanka","Colombo"," Sri Lanka","Colombo, Main Street, Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka","6.9387469","79.8541134","88471.142","534299.004","67","0"
"Islamabad,  Pakistan","Islamabad"," Pakistan","Islamabad, Islamabad Capital Territory, 44000, Pakistan","33.6938118","73.0651511","91915.033","555644.301","67","0"
"Bishkek,  Kyrgyzstan","Bishkek"," Kyrgyzstan","Bishkek, Kyrgyzstan","42.8765615","74.6070079","94329.731","570610.644","67","0"
"Tashkent,  Uzbekistan","Tashkent"," Uzbekistan","Tashkent, 100128, Uzbekistan","41.3123363","69.2787079","102349.31","620316.139","67","0"
"Malé,  Maldives","Malé"," Maldives","Malé, Maldives","4.1779879","73.5107387","104970.241","636560.714","67","0"
"Nur-Sultan,  Kazakhstan","Nur-Sultan"," Kazakhstan","Nur-Sultan, Kazakhstan","51.1282205","71.4306682","106885.219","648429.785","67","0"
"Port Moresby,  Papua New Guinea","Port Moresby"," Papua New Guinea","Port Moresby, National Capital District, Southern Region, 111, Papua New Guinea","-9.4743301","147.1599504","112142.246","681012.929","67","0"
"Ashgabat,  Turkmenistan","Ashgabat"," Turkmenistan","Ashgabat, Turkmenistan","37.9404648","58.3823487","121267.696","737572.636","67","0"
"Muscat,  Oman","Muscat"," Oman","Muscat, Oman","23.5882019","58.3829448","123688.794","752578.645","67","0"
"Dubai,  United Arab Emirates","Dubai"," United Arab Emirates","Dubai, 39205, United Arab Emirates","25.2653471","55.2924914","129667.278","789633.395","67","0"
"Tehran,  Iran","Tehran"," Iran","Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran","35.6892523","51.3896004","134807.085","821490.012","67","0"
"Baku,  Azerbaijan","Baku"," Azerbaijan","Baku, Yasamal Raion, Baku City, Absheron, Azerbaijan","40.3754434","49.8326748","137232.442","836522.413","67","0"
"Doha,  Qatar","Doha"," Qatar","Doha, Qatar","25.2856329","51.5264162","137715.793","839518.236","67","0"
"Manama,  Bahrain","Manama"," Bahrain","Manama, Capital Governorate, 308, Bahrain","26.2235041","50.5822436","139308.573","849390.312","67","0"
"Dammam Governorate,  Saudi Arabia","Dammam Governorate"," Saudi Arabia","Dammam Governorate, Eastern Region, Saudi Arabia","26.4367824","50.1039991","140228.212","855090.251","67","0"
"Kuwait City,  Kuwait","Kuwait City"," Kuwait","Kuwait City, Al Asimah, 15005, Kuwait","29.3797091","47.9735629","143456.794","875101.064","67","0"
"Tbilisi,  Georgia","Tbilisi"," Georgia","Tbilisi, Georgia","41.6934591","44.8014495","146196.216","892080.047","67","0"
"Yerevan,  Armenia","Yerevan"," Armenia","Yerevan, Armenia","40.1776121","44.5125849","146999.858","897061.035","67","0"
"Baghdad,  Iraq","Baghdad"," Iraq","Baghdad, Al-Karkh Central Subdistrict, Al-Karkh District, Baghdad Governorate, Iraq","33.3024309","44.3787992","149244.444","910973.021","67","0"
"Mahé,  Seychelles","Mahé"," Seychelles","Mahé, Seychelles","-4.68379555","55.49263800753758","153165.036","935272.918","67","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","156033.621","953052.461","67","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","162218.263","991384.985","67","0"
"Hargeisa,  Somalia","Hargeisa"," Somalia","Hargeisa, Hargeisa District, Woqooyi Galbeed, 1100, Somalia","9.561733","44.061803","164511.793","1005600.321","67","0"
"Saint Petersburg,  Russia","Saint Petersburg"," Russia","Saint Petersburg, Northwestern Federal District, 190000, Russia","59.938732","30.316229","164695.943","1006741.686","67","0"
"Beirut,  Lebanon","Beirut"," Lebanon","Beirut, Beirut Governorate, Lebanon","33.8959203","35.47843","166476.597","1017778.211","67","0"
"Amman,  Jordan","Amman"," Jordan","Amman, 2062, Jordan","31.9515694","35.9239625","166662.192","1018928.532","67","0"
"Kyiv,  Ukraine","Kyiv"," Ukraine","Kyiv, Ukraine","50.4500336","30.5241361","167470.193","1023936.536","67","0"
"Port Louis,  Mauritius","Port Louis"," Mauritius","Port Louis, 11317, Mauritius","-20.1624522","57.5028044","168577.469","1030799.456","67","0"
"Tel Aviv-Yafo,  Israel","Tel Aviv-Yafo"," Israel","Tel Aviv-Yafo, Tel Aviv Subdistrict, Tel Aviv District, Israel","32.0852997","34.7818064","168848.98","1032482.283","67","0"
"Larnaca Municipality,  Cyprus","Larnaca Municipality"," Cyprus","Larnaca Municipality, Larnaca District, South Cyprus, Cyprus","34.9236095","33.6236184","169499.025","1036511.278","67","0"
"Minsk,  Belarus","Minsk"," Belarus","Minsk, Belarus","53.902334","27.5618791","170337.906","1041710.678","67","0"
"Helsinki,  Finland","Helsinki"," Finland","Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","60.1674881","24.9427473","171001.463","1045823.413","67","0"
"Tallinn,  Estonia","Tallinn"," Estonia","Tallinn, Harju maakond, Estonia","59.4372155","24.7453688","171556.332","1049262.503","67","0"
"Pafos,  Cyprus","Pafos"," Cyprus","Pafos, Paphos Municipality, Paphos District, South Cyprus, 8047, Cyprus","34.7743988","32.4231586","171884.924","1051299.122","67","0"
"Vilnius,  Lithuania","Vilnius"," Lithuania","Vilnius, Vilnius city municipality, Vilnius County, Lithuania","54.6870458","25.2829111","173109.255","1058887.545","67","0"
"Riga,  Latvia","Riga"," Latvia","Riga, Vidzeme, Latvia","56.9493977","24.1051846","173534.374","1061522.438","67","0"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","174646.176","1068413.409","67","0"
"Addis Ababa,  Ethiopia","Addis Ababa"," Ethiopia","Addis Ababa, 1138, Ethiopia","9.0107934","38.7612525","176762.836","1081532.505","67","0"
"Cairo,  Egypt","Cairo"," Egypt","Cairo, Cairo Governorate, Egypt","30.0443879","31.2357257","177171.24","1084063.8","67","0"
"Bucharest,  Romania","Bucharest"," Romania","Bucharest, Romania","44.4361414","26.1027202","177524.66","1086254.307","67","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","179562.804","1098886.759","67","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","180468.758","1104501.877","67","0"
"Sofia,  Bulgaria","Sofia"," Bulgaria","Sofia, Sofia City, Sofia-City, Bulgaria","42.6978634","23.3221789","183318.143","1122162.42","67","0"
"Khartoum,  Sudan","Khartoum"," Sudan","Khartoum, Khartoum State, 11111, Sudan","15.5635972","32.5349123","185127.574","1133377.301","67","0"
"Athens,  Greece","Athens"," Greece","Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece","37.9839412","23.7283052","185972.928","1138616.824","67","0"
"Antananarivo,  Madagascar","Antananarivo"," Madagascar","Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagascar","-18.9100122","47.5255809","186135.707","1139625.732","67","0"
"Belgrade,  Serbia","Belgrade"," Serbia","Belgrade, Stari Grad Urban Municipality, City of Belgrade, Central Serbia, 11000, Serbia","44.8178131","20.4568974","186533.462","1142091.023","67","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","186747.675","1143418.718","67","0"
"Skopje,  North Macedonia","Skopje"," North Macedonia","Skopje, Municipality of Centar, City of Skopje, Skopje Region, North Macedonia","41.9960924","21.4316495","187028.796","1145161.113","67","0"
"Oslo,  Norway","Oslo"," Norway","Oslo, Norway","59.9133301","10.7389701","187515.486","1148177.621","67","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","189113.412","1158081.596","67","0"
"Bratislava,  Slovakia","Bratislava"," Slovakia","Bratislava, Region of Bratislava, Slovakia","48.1516988","17.1093063","189179.725","1158492.609","67","0"
"Zanzibar,  Tanzania","Zanzibar"," Tanzania","Zanzibar, Tanzania","-6.09994425","39.32094431715264","189444.784","1160135.445","67","0"
"Vienna,  Austria","Vienna"," Austria","Vienna, Austria","48.2083537","16.3725042","190243.573","1165086.355","67","0"
